

admin@DESKTOP-CTAGE42 MSYS /d/AlBrowserDownloads/cryptopp600a
mingw32 mingw-w64-i686-gmp 6.1.2-1
mingw32 mingw-w64-i686-gnome-calculator 3.16.2-1
mingw32 mingw-w64-i686-gnome-common 3.18.0-1
mingw32 mingw-w64-i686-gnu-cobol-svn 2.0.r1454-1
mingw32 mingw-w64-i686-gnucobol 3.0rc1-0
mingw32 mingw-w64-i686-gnupg 2.2.7-1
mingw32 mingw-w64-i686-gnuplot 5.2.0-3
mingw32 mingw-w64-i686-gnutls 3.6.1-1
mingw32 mingw-w64-i686-go 1.10.1-1
mingw32 mingw-w64-i686-gobject-introspection 1.56.1-1
mingw32 mingw-w64-i686-gobject-introspection-runtime 1.56.1-1
mingw32 mingw-w64-i686-goocanvas 2.0.4-1
mingw32 mingw-w64-i686-googletest-git r975.aa148eb-1
mingw32 mingw-w64-i686-gpgme 1.11.1-1
mingw32 mingw-w64-i686-gphoto2 2.5.17-1
mingw32 mingw-w64-i686-gplugin 0.27.0-1
mingw32 mingw-w64-i686-gprbuild-bootstrap-git r3206.f95f0c68-1
mingw32 mingw-w64-i686-graphene 1.8.0-1
mingw32 mingw-w64-i686-graphicsmagick 1.3.29-1
mingw32 mingw-w64-i686-graphite2 1.3.11-1
mingw32 mingw-w64-i686-graphviz 2.40.1-3
mingw32 mingw-w64-i686-grpc 1.7.2-1
mingw32 mingw-w64-i686-gsasl 1.8.0-4
mingw32 mingw-w64-i686-gsettings-desktop-schemas 3.28.0-1
mingw32 mingw-w64-i686-gsfonts 20170829-1
mingw32 mingw-w64-i686-gsl 2.4-1
mingw32 mingw-w64-i686-gsm 1.0.17-1
mingw32 mingw-w64-i686-gspell 1.6.1-1
mingw32 mingw-w64-i686-gss 1.0.3-1
mingw32 mingw-w64-i686-gst-editing-services 1.14.1-1
mingw32 mingw-w64-i686-gst-libav 1.14.1-1
mingw32 mingw-w64-i686-gst-plugins-bad 1.14.1-2
mingw32 mingw-w64-i686-gst-plugins-base 1.14.1-1
mingw32 mingw-w64-i686-gst-plugins-good 1.14.1-1
mingw32 mingw-w64-i686-gst-plugins-ugly 1.14.1-1
mingw32 mingw-w64-i686-gst-python 1.14.1-1
